a	/a/
accorderont	/akɔʁdəʁɔ̃/
accordes	/akɔʁd/
accordés	/akɔʁde/
accordeur	/akɔʁdœʁ/
accordez	/akɔʁde/
accordiez	/akɔʁdje/
accordons	/akɔʁdɔ̃/
accords	/akɔʁ/
accostage	/akɔstaʒ/
accoste	/akɔst/
accosté	/akɔste/
accostée	/akɔste/
accoster	/akɔste/
accostera	/akɔstəʁa/
accostez	/akɔste/
accouchais	/akuʃɛ/
accouchait	/akuʃɛ/
accouchant	/akuʃɑ̃/
accouche	/akuʃ/
accouché	/akuʃe/
accouchée	/akuʃe/
accouchement	/akuʃmɑ̃/
accouchements	/akuʃmɑ̃/
accouchent	/akuʃ/
accoucher	/akuʃe/
accouchera	/akuʃəʁa/
accoucherai	/akuʃəʁɛ/
accouches	/akuʃ/
accouchez	/akuʃe/
accoudoir	/akudwaʁ/
accoudoirs	/akudwaʁ/
accouple	/akupl/
accouplé	/akuple/
accouplement	/akupləmɑ̃/
accouplent	/akupl/
accoupler	/akuple/
accoure	/akuʁ/
accourent	/akuʁ/
accourez	/akuʁe/
accourir	/akuʁiʁ/
accourra	/akuʁːa/
accourrai	/akuʁːɛ/
accours	/akuʁ/
accourt	/akuʁ/
accouru	/akuʁy/
accoutrement	/akutʁəmɑ̃/
accoutumance	/akutymɑ̃s/
accoutumé	/akutyme/
accoutumée	/akutyme/
accoutumer	/akutyme/
accréditation	/akʁeditasjɔ̃/
accréditations	/akʁeditasjɔ̃/
accrédité	/akʁedite/
accréditée	/akʁedite/
accréditer	/akʁedite/
accrédités	/akʁedite/
accro	/akʁo/
accroc	/akʁo/
accrochage	/akʁɔʃaʒ/
accrochages	/akʁɔʃaʒ/
accrochaient	/akʁɔʃɛ/
accrochais	/akʁɔʃɛ/
accrochait	/akʁɔʃɛ/
accrochant	/akʁɔʃɑ̃/
accroche	/akʁɔʃ/
accroché	/akʁɔʃe/
accrochée	/akʁɔʃe/
accrochées	/akʁɔʃe/
accrochent	/akʁɔʃ/
accrocher	/akʁɔʃe/
accrochera	/akʁɔʃəʁa/
accrocherai	/akʁɔʃəʁɛ/
accrocherais	/akʁɔʃəʁɛ/
accroches	/akʁɔʃ/
accrochés	/akʁɔʃe/
accrocheur	/akʁɔʃœʁ/
accrocheuse	/akʁɔʃøz/
accrochez	/akʁɔʃe/
accrochiez	/akʁɔʃje/
accrochons	/akʁɔʃɔ̃/
accrocs	/akʁo/
accroire	/akʁwaʁ/
accroissement	/akʁwasmɑ̃/
accroître	/akʁwatʁ/
accroupi	/akʁupi/
accroupie	/akʁupi/
accroupir	/akʁupiʁ/
accroupis	/akʁupi/
accroupit	/akʁupi/
accru	/akʁy/
